experiment_name,workflow,task,base_model,cv_best_score,best_params,reason,mae,rmse,r2,mae_cells,rmse_cells,threshold,accuracy,precision,recall,f1,confusion_matrix,roc_auc,pr_auc,tuned_threshold,tuned_threshold_precision,tuned_threshold_recall,tuned_threshold_f1,rank
logistic_regression_tuned,non_tree,classification,LogisticRegression,0.9265953933001397,"{""C"": 0.03, ""class_weight"": ""balanced"", ""penalty"": ""l2""}",현재 분류 best이므로 규제 강도와 class balancing을 조정해 Recall 중심 성능을 끌어올린다.,,,,,,0.5,0.9510135135135135,0.9180887372013652,0.9817518248175182,0.9488536155202821,"[[588, 48], [10, 538]]",0.9895732910985631,0.9871670936900383,0.15,0.8176382660687593,0.9981751824817519,0.8989317995069844,1.0
catboost_classifier_tuned,tree,classification,CatBoostClassifier,0.9097768169112509,"{""depth"": 3, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",boosting 계열에서 Recall과 Precision 균형이 좋아 ordered boosting 후보를 더 탐색한다.,,,,,,0.5,0.9493243243243243,0.9420289855072463,0.948905109489051,0.9454545454545454,"[[604, 32], [28, 520]]",0.9906090758848644,0.9888617187617914,0.1,0.8522550544323484,1.0,0.9202350965575147,2.0
calibrated_logistic_tuned,non_tree,classification,CalibratedClassifierCV,0.8351424648410202,"{""estimator__C"": 0.03, ""estimator__penalty"": ""l1"", ""method"": ""isotonic""}","확률 보정 모델이 보수적으로 변하는지 확인하고, 운영 threshold 조정 가능성을 확인한다.",,,,,,0.5,0.9467905405405406,0.944954128440367,0.9397810218978102,0.9423604757548033,"[[606, 30], [33, 515]]",0.9883538768764633,0.9815191346190568,0.1,0.8557993730407524,0.9963503649635036,0.9207419898819561,3.0
random_forest_classifier_tuned,tree,classification,RandomForestClassifier,0.8989759401205452,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""max_features"": ""log2"", ""min_samples_leaf"": 3, ""n_estimators"": 800}","tree 분류 best였고, 여러 tree 투표로 튀는 구간에 덜 민감한 안정적 분류를 만든다.",,,,,,0.5,0.9467905405405406,0.9499072356215214,0.9343065693430657,0.9420423183072677,"[[609, 27], [36, 512]]",0.9930192122297203,0.9918380082138016,0.2,0.9013157894736842,1.0,0.9480968858131488,4.0
mlp_classifier_deep,non_tree,classification,MLPClassifier,0.8379936724755416,"{""activation"": ""relu"", ""alpha"": 0.01, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",딥러닝 MLP로 수문·수질 feature 간 비선형 조합을 직접 학습해 성능 상승 가능성을 검토한다.,,,,,,0.5,0.9451013513513513,0.96,0.9197080291970803,0.9394221808014911,"[[615, 21], [44, 504]]",0.9886321902400954,0.9862733796962997,0.1,0.8390092879256966,0.9890510948905109,0.9078726968174204,5.0
huber_tuned,non_tree,regression,HuberRegressor,-0.7598681796479384,"{""alpha"": 1e-05, ""epsilon"": 2.0}",조류 폭증과 폭우 같은 튀는 구간을 고려해 큰 오차에 덜 민감한 robust 회귀를 확인한다.,0.4693918569312953,0.6691487290051056,0.8403499321152024,5312.730826848962,15376.03949054098,,,,,,,,,,,,,1.0
elasticnet_tuned,non_tree,regression,ElasticNet,-0.7572458128479514,"{""alpha"": 0.001, ""l1_ratio"": 0.4}",상관된 수질/수문 변수들이 많아 L1+L2 규제로 과적합과 변수 중복 영향을 줄인다.,0.4935280386999022,0.6776774310979949,0.8362543250748615,4759.165803707317,13944.080623928943,,,,,,,,,,,,,2.0
ridge_tuned,non_tree,regression,Ridge,-0.7581484824587865,"{""alpha"": 10.0}",다중공선성이 있는 tabular feature에서 L2 규제로 안정적인 선형 기준선을 만든다.,0.49229106530351163,0.6779281652759889,0.8361331339871851,4688.272716628409,13867.787932040552,,,,,,,,,,,,,3.0
catboost_regressor_tuned,tree,regression,CatBoostRegressor,-0.7314565782013351,"{""depth"": 5, ""iterations"": 500, ""l2_leaf_reg"": 7, ""learning_rate"": 0.02}",tree 회귀 best였으므로 ordered boosting 계열의 비선형 패턴 포착력을 추가 튜닝한다.,0.5304895605234826,0.6991417758500348,0.8257172919865152,5252.014412097409,14372.861462021823,,,,,,,,,,,,,4.0
mlp_regressor_deep,non_tree,regression,MLPRegressor,-0.7773878203240812,"{""activation"": ""tanh"", ""alpha"": 0.01, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.003}",딥러닝 기반 tabular MLP로 선형 모델이 놓칠 수 있는 부드러운 비선형 조합을 학습한다.,0.5939053787768653,0.7800217831419279,0.7830611892815472,6349.860257237002,16039.20746288621,,,,,,,,,,,,,5.0
