feature,mean_abs_shap
sin_season,0.9798655917421498
transparency,0.8619718840830274
acc_temp_7d,0.8229649475493686
turbidity,0.6211620669669997
DO,0.44353902568558146
water_temp,0.3338312233394959
avg_temp,0.15182022726944738
air_temp_7d_mean,0.15122370317256076
max_temp,0.12748477737347644
cos_season,0.12727338597360027
min_temp,0.10890541771940074
hot_days_30c_7d,0.07742246616221488
pH,0.07401322215737907
outflow_7d_sum,0.06660676086294956
cloud_cover,0.06149817763376797
solar_rad,0.05899501773643033
sunshine,0.05498330668591895
residence_proxy,0.05418143556073757
level_change_7d,0.04797637941100588
outflow,0.04732833546422553
sunshine_7d_sum,0.044260429312278145
max_wind_gust,0.042448292248095126
rain_7d_sum,0.03651417762832522
solar_7d_sum,0.03464895291034732
inflow_7d_sum,0.03430254850739693
wind_7d_mean,0.03357443433922269
rain_14d_sum,0.031776181275835355
storage_vol,0.024548058453483908
water_level,0.023839246419096568
cloud_7d_mean,0.02376462614050728
inflow,0.02207619043669738
daily_rain,0.02085607155004725
storage_rate,0.02067458974715552
nutrient_stagnation_index,0.019058056962184176
rain_3d_sum,0.01839916687481618
low_wind_days_2ms_7d,0.013564292488481577
avg_wind,0.011526852286125083
