feature,importance
log_target,14.298214665378554
cyano_cells,12.940983982644727
DO,5.813824305773933
aphanizomenon_ratio,4.913926157240849
sin_season,4.153837882157436
Aphanizomenon,3.504562369878094
acc_temp_7d,3.1545488915944127
alert_encoded,2.9983174476566274
water_temp,2.8540222144152576
rain_7d_sum_x,2.851033658055494
air_temp_7d_mean,2.7015240350059897
turbidity,2.3197088659195577
water_level,2.252300358272591
outflow,2.1278151083178436
cos_season,2.056726734933909
microcystis_ratio,1.8367245440044027
Chl_a,1.822782716009184
storage_rate,1.7707748600494628
solar_7d_sum,1.728269706010657
Microcystis,1.5956336572794627
loc_encoded,1.3441056276117163
pH,1.2570972293286713
TSI_Chla,1.184339901871188
rainfall,1.1713143072823138
storage_vol,1.16158860121814
nutrient_stagnation_index,1.1336094681502946
anabaena_ratio,1.0751468875769703
sunshine_7d_sum,1.0286322374011447
level_change_7d,0.9820873533573429
transparency,0.9759551591145988
sunshine,0.9677814571664722
min_temp,0.91417352530626
TSI_SD,0.9134763920335118
avg_temp,0.7529973951597748
outflow_7d_sum,0.7525416082459645
inflow,0.6704869117389132
solar_rad,0.6635465177076538
cloud_7d_mean,0.6414360602426253
cloud_cover,0.6292537169757663
max_temp,0.5950762082675355
Oscillatoria,0.5492662621685475
residence_proxy,0.5426293438431155
hot_days_30c_7d,0.4613463927243964
inflow_7d_sum,0.4514245127497829
rain_14d_sum,0.32666848213363237
Anabaena,0.293360258785928
rain_3d_sum,0.2567299625464888
oscillatoria_ratio,0.21073880874120549
daily_rain,0.1975228571247816
wind_7d_mean,0.06685541138960557
rain_7d_sum_y,0.06569201132703713
max_wind_gust,0.05117806112001196
avg_wind,0.01593202667151204
low_wind_days_2ms_7d,0.0004768823187073695
station,0.0
