workflow,model_name,threshold,precision,recall,f1,predicted_positive
tree,lightgbm,0.1,0.9692307692307692,0.9197080291970803,0.9438202247191011,520
tree,lightgbm,0.15,0.9689922480620154,0.9124087591240876,0.9398496240601504,516
tree,lightgbm,0.2,0.96875,0.9051094890510949,0.9358490566037736,512
tree,lightgbm,0.25,0.9686274509803922,0.9014598540145985,0.9338374291115312,510
tree,lightgbm,0.3,0.9704142011834319,0.8978102189781022,0.9327014218009478,507
tree,lightgbm,0.35,0.9761904761904762,0.8978102189781022,0.935361216730038,504
tree,lightgbm,0.4,0.976,0.8905109489051095,0.9312977099236641,500
tree,lightgbm,0.45,0.9759036144578314,0.8868613138686131,0.9292543021032504,498
tree,lightgbm,0.5,0.9755102040816327,0.8722627737226277,0.9210019267822736,490
tree,lightgbm,0.55,0.9755102040816327,0.8722627737226277,0.9210019267822736,490
tree,lightgbm,0.6,0.9774590163934426,0.8704379562043796,0.9208494208494209,488
tree,lightgbm,0.65,0.9896265560165975,0.8704379562043796,0.9262135922330097,482
tree,lightgbm,0.7,0.991578947368421,0.8594890510948905,0.9208211143695014,475
tree,lightgbm,0.75,0.9915254237288136,0.8540145985401459,0.9176470588235294,472
tree,lightgbm,0.8,0.9915254237288136,0.8540145985401459,0.9176470588235294,472
tree,lightgbm,0.85,0.9913606911447084,0.8375912408759124,0.9080118694362018,463
tree,lightgbm,0.9,0.9934640522875817,0.8321167883211679,0.9056603773584906,459
tree,xgboost,0.1,0.9537892791127541,0.9416058394160584,0.9476584022038568,541
tree,xgboost,0.15,0.9621212121212122,0.927007299270073,0.9442379182156134,528
tree,xgboost,0.2,0.9621212121212122,0.927007299270073,0.9442379182156134,528
tree,xgboost,0.25,0.9621212121212122,0.927007299270073,0.9442379182156134,528
tree,xgboost,0.3,0.9638095238095238,0.9233576642335767,0.9431500465983225,525
tree,xgboost,0.35,0.9710982658959537,0.9197080291970803,0.9447047797563262,519
tree,xgboost,0.4,0.9767441860465116,0.9197080291970803,0.9473684210526315,516
tree,xgboost,0.45,0.9766081871345029,0.9142335766423357,0.944392082940622,513
tree,xgboost,0.5,0.9780876494023905,0.8959854014598541,0.9352380952380952,502
tree,xgboost,0.55,0.9877551020408163,0.8832116788321168,0.9325626204238922,490
tree,xgboost,0.6,0.9916492693110647,0.8667883211678832,0.9250243427458618,479
tree,xgboost,0.65,0.9915433403805497,0.8558394160583942,0.9187071498530852,473
tree,xgboost,0.7,0.9978118161925602,0.8321167883211679,0.9074626865671642,457
tree,xgboost,0.75,1.0,0.8175182481751825,0.8995983935742972,448
tree,xgboost,0.8,1.0,0.7627737226277372,0.865424430641822,418
tree,xgboost,0.85,1.0,0.6824817518248175,0.8112798264642083,374
tree,xgboost,0.9,1.0,0.6295620437956204,0.7726763717805151,345
tree,hist_gradient_boosting,0.1,0.9578544061302682,0.9124087591240876,0.9345794392523364,522
tree,hist_gradient_boosting,0.15,0.968503937007874,0.8978102189781022,0.9318181818181818,508
tree,hist_gradient_boosting,0.2,0.968503937007874,0.8978102189781022,0.9318181818181818,508
tree,hist_gradient_boosting,0.25,0.9684418145956607,0.8959854014598541,0.9308056872037914,507
tree,hist_gradient_boosting,0.3,0.9682539682539683,0.8905109489051095,0.9277566539923955,504
tree,hist_gradient_boosting,0.35,0.9682539682539683,0.8905109489051095,0.9277566539923955,504
tree,hist_gradient_boosting,0.4,0.9681274900398407,0.8868613138686131,0.9257142857142857,502
tree,hist_gradient_boosting,0.45,0.9719438877755511,0.885036496350365,0.9264565425023877,499
tree,hist_gradient_boosting,0.5,0.975609756097561,0.8759124087591241,0.9230769230769231,492
tree,hist_gradient_boosting,0.55,0.975609756097561,0.8759124087591241,0.9230769230769231,492
tree,hist_gradient_boosting,0.6,0.975609756097561,0.8759124087591241,0.9230769230769231,492
tree,hist_gradient_boosting,0.65,0.9753593429158111,0.8667883211678832,0.9178743961352657,487
tree,hist_gradient_boosting,0.7,0.9751552795031055,0.8594890510948905,0.9136760426770126,483
tree,hist_gradient_boosting,0.75,0.975051975051975,0.8558394160583942,0.9115646258503401,481
tree,hist_gradient_boosting,0.8,0.9832285115303984,0.8558394160583942,0.9151219512195122,477
tree,hist_gradient_boosting,0.85,0.9829059829059829,0.8394160583941606,0.905511811023622,468
tree,hist_gradient_boosting,0.9,0.9826086956521739,0.8248175182481752,0.8968253968253969,460
tree,random_forest,0.1,0.8852988691437803,1.0,0.9391602399314481,619
tree,random_forest,0.15,0.9158249158249159,0.9927007299270073,0.9527145359019265,594
tree,random_forest,0.2,0.9242685025817556,0.9799270072992701,0.9512843224092117,581
tree,random_forest,0.25,0.9328621908127208,0.9635036496350365,0.947935368043088,566
tree,random_forest,0.3,0.9355992844364938,0.9543795620437956,0.9448961156278229,559
tree,random_forest,0.35,0.9485294117647058,0.9416058394160584,0.945054945054945,544
tree,random_forest,0.4,0.9481481481481482,0.9343065693430657,0.9411764705882353,540
tree,random_forest,0.45,0.9570093457943926,0.9343065693430657,0.9455216989843028,535
tree,random_forest,0.5,0.9692307692307692,0.9197080291970803,0.9438202247191011,520
tree,random_forest,0.55,0.9757085020242915,0.8795620437956204,0.9251439539347409,494
tree,random_forest,0.6,0.9915254237288136,0.8540145985401459,0.9176470588235294,472
tree,random_forest,0.65,1.0,0.7828467153284672,0.8781985670419652,429
tree,random_forest,0.7,1.0,0.7445255474452555,0.8535564853556485,408
tree,random_forest,0.75,1.0,0.7171532846715328,0.8352816153028693,393
tree,random_forest,0.8,1.0,0.6697080291970803,0.8021857923497268,367
tree,random_forest,0.85,1.0,0.5218978102189781,0.6858513189448441,286
tree,random_forest,0.9,1.0,0.354014598540146,0.522911051212938,194
tree,catboost,0.1,0.9303135888501742,0.9744525547445255,0.9518716577540107,574
tree,catboost,0.15,0.9357142857142857,0.9562043795620438,0.9458483754512635,560
tree,catboost,0.2,0.935251798561151,0.948905109489051,0.9420289855072463,556
tree,catboost,0.25,0.9485294117647058,0.9416058394160584,0.945054945054945,544
tree,catboost,0.3,0.9485294117647058,0.9416058394160584,0.945054945054945,544
tree,catboost,0.35,0.9484346224677717,0.9397810218978102,0.9440879926672777,543
tree,catboost,0.4,0.9499072356215214,0.9343065693430657,0.9420423183072677,539
tree,catboost,0.45,0.9548872180451128,0.927007299270073,0.9407407407407408,532
tree,catboost,0.5,0.9541984732824428,0.9124087591240876,0.9328358208955224,524
tree,catboost,0.55,0.953757225433526,0.9032846715328468,0.9278350515463918,519
tree,catboost,0.6,0.9534883720930233,0.8978102189781022,0.924812030075188,516
tree,catboost,0.65,0.9571150097465887,0.8959854014598541,0.9255419415645617,513
tree,catboost,0.7,0.9641434262948207,0.8832116788321168,0.9219047619047619,502
tree,catboost,0.75,0.9753593429158111,0.8667883211678832,0.9178743961352657,487
tree,catboost,0.8,0.9763440860215054,0.8284671532846716,0.8963474827245804,465
tree,catboost,0.85,0.9795454545454545,0.7864963503649635,0.8724696356275303,440
tree,catboost,0.9,0.9907407407407407,0.781021897810219,0.8734693877551021,432
