,corr_with_next_log_cells
log_target,0.8531237728830275
acc_temp_7d,0.7611115743512288
water_temp,0.7219039111879838
alert_encoded,0.6991718436653801
DO,-0.6927015943477073
microcystis_ratio,0.6666043269045858
TSI_SD,0.5944598307224561
transparency,-0.573718183248237
TSI_Chla,0.5588470080490365
Chl_a,0.5012219584338001
cyano_cells,0.41322213070203995
turbidity,0.32612429407762744
residence_proxy,-0.26492468043162365
inflow_7d_sum,0.25618065820784003
water_level,0.2478185695942411
outflow_7d_sum,0.23566071929470714
nutrient_stagnation_index,0.1649872463814703
